"id","name","unit_price","stock","brand_name"
277,Backpack,817.77,254,GreenLeaf
278,Coffee Beans 1kg Model 481,797.63,83,FreshFarms
279,Notebook Model 814,584.98,373,ElectroVision
280,Running Shoes,454.32,340,FreshFarms
281,Running Shoes,864.83,207,BeanBrew
282,Coffee Beans 1kg Model 364,69.15,70,FreshFarms
283,Bluetooth Headphones,247.98,89,FreshFarms
284,Water Bottle Model 235,407.42,295,TechNova
285,Bluetooth Headphones,598.95,430,SprintPro
286,LED TV 42 inch,330.89,150,ComfortSit
287,Water Bottle Model 952,828.28,473,TechNova
288,Notebook Model 337,860.93,118,TechNova
289,Water Bottle,246.00,208,ElectroVision
290,Running Shoes,51.58,374,HealthPlus
291,Desk Chair,358.73,66,TechNova
292,Desk Chair,772.08,47,HealthPlus
293,Backpack,968.89,44,ElectroVision
294,Desk Chair,774.16,268,HealthPlus
295,Smartphone,673.39,453,FreshFarms
296,LED TV 42 inch,424.96,405,SoundMax
297,Backpack,938.97,142,HomeEase
298,Desk Chair,678.47,335,BeanBrew
299,Bluetooth Headphones,84.29,421,TechNova
300,Desk Chair,255.84,81,TechNova
301,Bluetooth Headphones Model 828,158.60,364,ElectroVision
302,Backpack Model 342,236.45,471,BeanBrew
303,Coffee Beans 1kg,27.19,166,FreshFarms
304,Notebook,723.61,313,SprintPro
305,Running Shoes Model 954,739.49,462,HealthPlus
306,Desk Chair Model 500,255.53,112,ComfortSit
307,Running Shoes,703.26,270,BeanBrew
308,Desk Chair Model 753,136.11,399,HomeEase
309,Desk Chair,723.05,364,HealthPlus
310,Water Bottle Model 299,461.45,92,FreshFarms
311,Notebook,786.18,409,ElectroVision
312,Desk Chair,449.05,236,SprintPro
313,Smartphone,301.86,22,BeanBrew
314,Bluetooth Headphones Model 558,173.57,337,ElectroVision
315,Smartphone,279.12,343,HomeEase
316,Bluetooth Headphones,295.31,383,ElectroVision
317,Running Shoes,791.86,87,HomeEase
318,Notebook,336.78,1,ComfortSit
319,Running Shoes,13.60,100,GreenLeaf
320,Backpack,150.57,4,BeanBrew
321,Coffee Beans 1kg,280.94,454,HealthPlus
322,LED TV 42 inch,433.42,432,TechNova
323,LED TV 42 inch Model 462,949.76,11,ElectroVision
324,Running Shoes Model 966,261.73,318,ElectroVision
325,Notebook,404.89,69,BeanBrew
326,Backpack,316.58,395,SoundMax
327,Desk Chair,917.38,18,SoundMax
328,Running Shoes,836.01,456,HealthPlus
329,Coffee Beans 1kg,142.16,101,ComfortSit
330,Running Shoes,113.48,81,BeanBrew
331,Coffee Beans 1kg,211.40,339,HomeEase
332,Water Bottle,108.35,299,GreenLeaf
333,Water Bottle Model 225,82.16,238,ElectroVision
334,Desk Chair,611.30,153,TechNova
335,Bluetooth Headphones,736.83,133,SoundMax
336,Backpack,707.52,176,SprintPro
337,Backpack,723.07,36,SprintPro
338,Organic Apple,349.95,403,HomeEase
339,Water Bottle,849.64,420,BeanBrew
340,Organic Apple,69.74,49,ComfortSit
341,LED TV 42 inch,664.64,105,FreshFarms
342,Smartphone Model 876,223.74,429,SoundMax
343,Bluetooth Headphones,855.09,270,TechNova
344,Desk Chair Model 328,828.06,382,SprintPro
345,Bluetooth Headphones,767.06,107,FreshFarms
346,Smartphone Model 105,113.77,124,SprintPro
347,LED TV 42 inch,487.83,42,HealthPlus
348,Desk Chair,313.58,443,SoundMax
349,Smartphone Model 152,752.01,436,FreshFarms
350,Organic Apple,610.31,288,HealthPlus
351,Organic Apple,321.65,127,HealthPlus
352,Coffee Beans 1kg,227.34,23,ComfortSit
353,Notebook,269.02,159,TechNova
354,LED TV 42 inch,536.11,400,GreenLeaf
355,Organic Apple,131.73,318,FreshFarms
356,Bluetooth Headphones,990.66,14,ComfortSit
357,Bluetooth Headphones,206.73,109,HealthPlus
358,Notebook Model 551,808.08,318,BeanBrew
359,Notebook,98.43,105,TechNova
360,Running Shoes Model 902,113.85,448,ComfortSit
361,Organic Apple Model 328,831.99,483,ComfortSit
362,Water Bottle Model 515,562.84,390,BeanBrew
363,Running Shoes,508.93,48,SprintPro
364,Notebook Model 952,383.57,335,GreenLeaf
365,Bluetooth Headphones Model 952,162.57,47,SprintPro
366,Coffee Beans 1kg Model 563,838.78,140,HealthPlus
367,Desk Chair Model 946,894.17,99,HealthPlus
368,Notebook,861.75,350,SoundMax
369,Running Shoes,518.98,487,FreshFarms
370,Water Bottle,401.57,198,GreenLeaf
371,Bluetooth Headphones Model 950,224.31,21,SoundMax
372,Organic Apple,474.75,238,HomeEase
373,Water Bottle,797.07,455,ElectroVision
374,Running Shoes Model 977,213.15,15,SprintPro
375,Bluetooth Headphones,221.03,360,SprintPro
376,Notebook,493.93,361,ComfortSit
377,Desk Chair Model 198,549.05,14,TechNova
378,Organic Apple,868.73,258,TechNova
379,Desk Chair,705.74,309,ElectroVision
380,Smartphone,166.25,241,ElectroVision
381,Notebook Model 328,720.49,367,SprintPro
382,LED TV 42 inch,145.19,151,HomeEase
383,Running Shoes Model 616,868.06,139,SoundMax
384,Smartphone,608.09,230,GreenLeaf
385,Desk Chair,131.02,242,ComfortSit
386,Organic Apple Model 628,576.45,240,BeanBrew
387,Running Shoes,919.62,57,ElectroVision
388,LED TV 42 inch,474.08,258,GreenLeaf
389,Smartphone,141.40,44,ComfortSit
390,Smartphone,516.14,367,ComfortSit
391,Smartphone Model 655,489.34,121,HomeEase
392,Desk Chair,854.51,497,GreenLeaf
393,LED TV 42 inch,549.79,52,HealthPlus
394,Coffee Beans 1kg,235.50,110,SoundMax
395,Smartphone,83.61,63,SprintPro
396,Smartphone,511.34,237,BeanBrew
397,Notebook Model 897,411.88,291,FreshFarms
398,Backpack,339.77,349,HomeEase
399,Running Shoes Model 645,745.98,294,FreshFarms
400,LED TV 42 inch Model 677,430.66,393,BeanBrew
401,Backpack,356.22,467,GreenLeaf
402,Bluetooth Headphones Model 422,225.51,321,BeanBrew
403,Bluetooth Headphones Model 254,361.75,101,FreshFarms
404,LED TV 42 inch,596.99,283,HealthPlus
405,LED TV 42 inch,239.86,207,ElectroVision
406,Organic Apple,732.29,451,GreenLeaf
407,Coffee Beans 1kg,21.84,383,GreenLeaf
408,Smartphone,680.29,13,FreshFarms
409,Desk Chair,23.66,436,SoundMax
410,Coffee Beans 1kg,769.30,455,ElectroVision
411,Running Shoes,982.73,133,ElectroVision
412,Organic Apple,731.92,101,GreenLeaf
413,Water Bottle,692.27,180,SoundMax
414,Notebook Model 836,692.65,171,FreshFarms
415,Organic Apple,113.99,310,ElectroVision
416,LED TV 42 inch,291.58,179,HomeEase
417,Smartphone Model 786,632.50,169,GreenLeaf
418,Backpack,93.27,59,HealthPlus
419,LED TV 42 inch,738.45,455,ElectroVision
420,Running Shoes,330.01,69,SoundMax
421,Running Shoes,798.05,280,HealthPlus
422,LED TV 42 inch Model 314,418.55,487,SprintPro
423,Water Bottle,586.13,342,ElectroVision
424,Running Shoes,588.96,136,BeanBrew
425,Desk Chair,591.86,439,BeanBrew
426,Notebook,329.74,309,ElectroVision
427,LED TV 42 inch Model 134,700.43,469,ElectroVision
428,Smartphone,956.24,350,SoundMax
429,Desk Chair,403.35,387,SoundMax
430,Coffee Beans 1kg,392.80,11,ComfortSit
431,Backpack Model 275,330.76,17,TechNova
432,LED TV 42 inch,48.25,474,ComfortSit
433,Water Bottle,280.95,402,HealthPlus
434,LED TV 42 inch,823.75,240,SoundMax
435,Water Bottle,613.16,50,ElectroVision
436,Notebook,754.58,386,SoundMax
437,Coffee Beans 1kg,950.35,346,SprintPro
438,Coffee Beans 1kg,475.27,237,TechNova
439,Backpack,784.70,178,GreenLeaf
440,Coffee Beans 1kg,958.00,111,HomeEase
441,Smartphone Model 938,766.39,281,HealthPlus
442,Organic Apple,906.55,355,ComfortSit
443,Coffee Beans 1kg,341.78,417,BeanBrew
444,Coffee Beans 1kg,691.40,97,SoundMax
445,Organic Apple,365.20,262,HealthPlus
446,Desk Chair,561.42,391,HealthPlus
447,Notebook,30.80,388,SoundMax
448,Water Bottle,847.64,305,HealthPlus
449,Coffee Beans 1kg,42.90,56,SprintPro
450,Running Shoes Model 968,441.40,450,ElectroVision
451,Running Shoes,212.58,361,ComfortSit
452,Coffee Beans 1kg Model 859,82.23,231,SoundMax
453,Bluetooth Headphones,715.07,97,HealthPlus
454,Backpack,815.20,496,HealthPlus
455,Organic Apple Model 450,165.31,22,SoundMax
456,Smartphone Model 327,378.42,134,SoundMax
457,Notebook,191.84,124,ElectroVision
458,Notebook Model 752,550.25,461,SprintPro
459,Notebook,917.13,261,HealthPlus
460,Notebook Model 826,227.43,63,FreshFarms
461,LED TV 42 inch,197.38,242,SprintPro
462,Organic Apple,405.97,211,TechNova
463,Desk Chair,136.37,292,HomeEase
464,Smartphone,352.73,191,HomeEase
465,Backpack,230.83,106,BeanBrew
466,LED TV 42 inch Model 678,325.46,489,TechNova
467,Coffee Beans 1kg,608.10,457,FreshFarms
468,Running Shoes Model 229,678.34,231,BeanBrew
469,Organic Apple Model 318,775.99,279,SprintPro
470,Backpack,750.74,204,SprintPro
471,Organic Apple,580.54,234,TechNova
472,Backpack,325.80,19,SprintPro
473,Bluetooth Headphones,560.44,80,TechNova
474,Notebook,33.09,172,BeanBrew
475,LED TV 42 inch,190.68,239,HomeEase
476,Smartphone,541.77,317,HomeEase
477,Backpack,859.81,124,GreenLeaf
478,Running Shoes,877.60,114,SoundMax
479,Notebook,323.33,151,GreenLeaf
480,Notebook Model 854,868.44,418,TechNova
481,Coffee Beans 1kg Model 688,236.65,367,ComfortSit
482,Notebook,837.49,218,ComfortSit
483,Backpack,306.35,3,ElectroVision
484,Desk Chair,991.05,154,HealthPlus
485,Organic Apple Model 195,755.97,25,TechNova
486,Smartphone,901.74,238,HomeEase
487,Running Shoes,352.08,480,HealthPlus
488,LED TV 42 inch Model 753,438.08,130,BeanBrew
489,Coffee Beans 1kg,131.04,56,GreenLeaf
490,LED TV 42 inch,457.08,463,ElectroVision
491,Backpack,489.76,333,HomeEase
492,Backpack,419.53,110,BeanBrew
493,Running Shoes Model 554,585.25,63,SoundMax
494,LED TV 42 inch,639.29,308,BeanBrew
495,Smartphone Model 877,845.59,257,HealthPlus
496,Coffee Beans 1kg,369.72,89,SprintPro
497,Coffee Beans 1kg Model 897,606.85,54,BeanBrew
498,Backpack,598.50,170,BeanBrew
499,Backpack,322.75,430,TechNova
500,Notebook Model 621,466.85,446,HomeEase
501,Running Shoes,167.72,80,ComfortSit
502,LED TV 42 inch,386.84,207,ElectroVision
503,Water Bottle,296.69,353,HealthPlus
504,Organic Apple,664.27,254,ComfortSit
505,Backpack,736.57,319,FreshFarms
506,Organic Apple,271.03,11,SprintPro
507,Desk Chair,563.13,215,SoundMax
508,Bluetooth Headphones Model 137,671.89,97,HomeEase
509,Notebook,387.72,109,ComfortSit
510,Backpack,878.37,70,HomeEase
511,Running Shoes,849.99,347,HomeEase
512,LED TV 42 inch,547.59,133,BeanBrew
513,Water Bottle Model 460,892.95,490,ElectroVision
514,Running Shoes,531.20,470,SoundMax
515,Organic Apple Model 556,96.88,271,GreenLeaf
516,LED TV 42 inch,510.30,204,SoundMax
517,Water Bottle,709.95,398,FreshFarms
518,Organic Apple,775.41,193,TechNova
519,Backpack,608.70,57,GreenLeaf
520,Desk Chair,643.27,436,TechNova
521,Backpack,872.85,235,TechNova
522,Organic Apple,492.98,81,ComfortSit
523,Desk Chair Model 173,889.16,140,SprintPro
524,Bluetooth Headphones Model 989,922.94,382,HealthPlus
525,Backpack,832.87,162,BeanBrew
526,Coffee Beans 1kg,724.05,98,TechNova
527,Desk Chair Model 341,835.65,353,TechNova
528,Backpack Model 553,536.74,416,HealthPlus
529,Smartphone,799.27,380,HomeEase
530,Running Shoes,821.97,233,BeanBrew
531,Desk Chair,455.82,83,ComfortSit
532,Running Shoes,697.48,58,HealthPlus
533,Smartphone,825.22,202,ComfortSit
534,Running Shoes Model 228,687.93,118,GreenLeaf
535,LED TV 42 inch,648.20,253,FreshFarms
536,Desk Chair Model 920,582.95,123,ComfortSit
537,Bluetooth Headphones,48.59,77,SoundMax
538,Notebook Model 282,708.26,273,SprintPro
539,Smartphone,249.91,244,BeanBrew
540,Running Shoes,868.17,346,BeanBrew
541,LED TV 42 inch,257.25,450,SoundMax
542,Running Shoes,965.18,498,HomeEase
543,Notebook,77.41,427,BeanBrew
544,Smartphone,342.02,208,SoundMax
545,Running Shoes Model 481,658.34,287,FreshFarms
546,Water Bottle,484.46,297,HealthPlus
547,Running Shoes Model 347,918.76,100,SoundMax
548,Coffee Beans 1kg Model 786,600.36,222,SprintPro
549,Coffee Beans 1kg,108.32,390,HomeEase
550,Notebook Model 635,327.44,423,BeanBrew
551,Coffee Beans 1kg,407.82,334,HomeEase
552,Notebook Model 303,903.01,102,ElectroVision
553,Backpack Model 671,801.02,232,ElectroVision
554,Coffee Beans 1kg,154.43,455,TechNova
555,Smartphone Model 780,611.92,489,TechNova
556,Water Bottle Model 671,103.56,211,SprintPro
557,LED TV 42 inch Model 945,57.42,364,ComfortSit
558,Bluetooth Headphones,560.61,358,ElectroVision
559,Coffee Beans 1kg,849.71,389,ComfortSit
560,Running Shoes Model 345,219.74,434,ElectroVision
561,Notebook,86.07,245,HealthPlus
562,Running Shoes,517.10,79,GreenLeaf
563,Bluetooth Headphones,996.89,8,GreenLeaf
564,Water Bottle,859.79,11,TechNova
565,Water Bottle,987.73,83,ElectroVision
566,Running Shoes,997.94,21,ComfortSit
567,Organic Apple,174.28,250,TechNova
568,Coffee Beans 1kg,861.16,387,SoundMax
569,Running Shoes,181.26,135,GreenLeaf
570,LED TV 42 inch,203.24,47,SprintPro
571,Notebook,290.94,398,HomeEase
572,Backpack,791.17,392,HomeEase
573,Coffee Beans 1kg,134.42,98,ComfortSit
574,Coffee Beans 1kg,456.63,11,TechNova
575,Coffee Beans 1kg,428.87,404,SprintPro
576,Coffee Beans 1kg Model 295,668.08,100,SprintPro
577,LED TV 42 inch,724.78,95,FreshFarms
578,Bluetooth Headphones Model 457,198.97,444,BeanBrew
579,Desk Chair,906.30,467,GreenLeaf
580,LED TV 42 inch,217.60,251,ElectroVision
581,Smartphone,552.33,500,HomeEase
582,Backpack Model 293,888.80,417,TechNova
583,Bluetooth Headphones,631.89,132,HomeEase
584,Smartphone,392.65,199,TechNova
585,Coffee Beans 1kg,405.62,320,HealthPlus
586,Bluetooth Headphones,376.35,398,HealthPlus
587,Desk Chair,314.77,119,FreshFarms
588,Organic Apple,55.12,386,HealthPlus
589,Coffee Beans 1kg,530.36,103,BeanBrew
590,Organic Apple,172.71,231,SoundMax
591,LED TV 42 inch,485.63,103,ComfortSit
592,Smartphone,985.27,126,HealthPlus
